heading|activity.type|activity.confidence|activity.timestampMs|verticalAccuracy|velocity|accuracy|longitude|latitude|altitude|timestampMs|userid
,STILL,100,1582192448000,,,2000,217419030,382655112,,1582192479000,55435242412a
,STILL,100,1582192570000,,,2000,217419030,382655112,,1582192567000,55435242412a
,STILL,100,1582192638000,,,2000,217419030,382655112,,1582192652000,55435242412a
,STILL,100,1582192796000,,,16,217417724,382661601,,1582192735000,55435242412a
,STILL,100,1582192865000,,,16,217417724,382661601,,1582192909000,55435242412a
,STILL,100,1582193199000,,,22,217417737,382661679,,1582193007000,55435242412a
,STILL,100,1582193321000,,,39,217417578,382662223,,1582193524000,55435242412a
,STILL,100,1582193828000,,,52,217417578,382662223,,1582193826000,55435242412a
,STILL,100,1582194363000,,,16,217418015,382662801,,1582194360000,55435242412a
,STILL,100,1582194717000,,,23,217417924,382662162,,1582194702000,55435242412a
,STILL,100,1582194960000,,,24,217417836,382662020,,1582194944000,55435242412a
,STILL,100,1582196827000,,,16,217417563,382661791,,1582196820000,55435242412a
,STILL,100,1582198627000,,,17,217417605,382661875,,1582200051000,55435242412a
,IN_CAR,1,1582200055000,,,2000,217419030,382655112,,1582200061000,55435242412a
,STILL,100,1582200302000,,,22,217417766,382661735,,1582200299000,55435242412a
,TILTING,100,1582200464000,,,22,217417758,382661704,,1582200412000,55435242412a
,TILTING,100,1582200655000,,,16,217417720,382661601,,1582200651000,55435242412a
,IN_CAR,10,1582200670000,,,16,217417688,382661590,,1582200670000,55435242412a
,TILTING,100,1582200847000,,,2000,217419030,382655112,,1582200789000,55435242412a
,IN_CAR,10,1582200945000,,,17,217417598,382661520,,1582200909000,55435242412a
,UNKNOWN,1,1582201034000,,,16,217417740,382661631,,1582201033000,55435242412a
,IN_RAIL_VEHICLE,1,1582201102000,,,1500,217415303,382652691,,1582201152000,55435242412a
,IN_CAR,10,1582201277000,,,23,217417257,382661592,,1582201296000,55435242412a
,STILL,100,1582201346000,,,2000,217419030,382655112,,1582201342000,55435242412a
,IN_CAR,1,1582201418000,,,23,217417709,382661750,,1582201464000,55435242412a
,STILL,100,1582201588000,2,,16,217417646,382661604,37,1582201561000,55435242412a
,IN_CAR,10,1582201786000,2,,16,217417646,382661604,37,1582201707000,55435242412a
,STILL,100,1582201886000,,,15,217417640,382661506,,1582201883000,55435242412a
,IN_CAR,10,1582202038000,2,,17,217421644,382660756,35,1582202010000,55435242412a
,UNKNOWN,3,1582202135000,,,17,217415156,382662146,,1582202132000,55435242412a
,RUNNING,1,1582202323000,,,16,217413517,382661755,,1582202252000,55435242412a
,IN_CAR,1,1582202453000,,,2000,217419030,382655112,,1582202494000,55435242412a
,UNKNOWN,3,1582202574000,,,2000,217419030,382655112,,1582202616000,55435242412a
,UNKNOWN,1,1582202687000,,,2000,217419030,382655112,,1582202738000,55435242412a
,UNKNOWN,1,1582202862000,,,2000,217419030,382655112,,1582202859000,55435242412a
,STILL,100,1582203015000,,,2200,217359409,382522077,,1582202980000,55435242412a
,RUNNING,1,1582203083000,,,2200,217359409,382522077,,1582203059000,55435242412a
,STILL,100,1582203155000,,,2200,217359409,382522077,,1582203132000,55435242412a
,IN_CAR,1,1582203223000,,,2200,217359409,382522077,,1582203205000,55435242412a
,STILL,100,1582203292000,,,2200,217359409,382522077,,1582203279000,55435242412a
,STILL,100,1582203360000,,,2200,217359409,382522077,,1582203361000,55435242412a
,STILL,100,1582203895000,,,2200,217359409,382522077,,1582203890000,55435242412a
,STILL,100,1582205084000,,,2200,217359409,382522077,,1582205084000,55435242412a
,UNKNOWN,2,1582205694000,,,2200,217359409,382522077,,1582205691000,55435242412a
,TILTING,100,1582205945000,,,2200,217359409,382522077,,1582205818000,55435242412a
,UNKNOWN,2,1582206168000,,,2200,217359409,382522077,,1582206165000,55435242412a
,RUNNING,1,1582206244000,2,,16,217396189,382635443,31,1582206250000,55435242412a
28,STILL,100,1582206313000,2,0,35,217396844,382636376,31,1582206330000,55435242412a
,UNKNOWN,2,1582206568000,2,,31,217396872,382636416,31,1582206511000,55435242412a
,UNKNOWN,4,1582206643000,,,3599,217411577,382643985,,1582206639000,55435242412a
,IN_CAR,1,1582206707000,,,3599,217411577,382643985,,1582206704000,55435242412a
,STILL,1,1582206770000,,,3599,217411577,382643985,,1582206767000,55435242412a
,UNKNOWN,3,1582206832000,,,3599,217411577,382643985,,1582206829000,55435242412a
